name,price,engineSize,year,mileage,fuelType,priceToEngineSizeRatio,link
Audi Q7 II,418900,2967,2018,5,Diesel,141186,otomoto.pl/oferta/audi-q7-50-tdi-quattro-tiptronic-pneumatyka-7-os-led-kola-zimowe-gratis-ID6BtwXH.html
Audi A6 C8,276500,1968,2018,5,Diesel,140498,otomoto.pl/oferta/audi-a6-40-tdi-204-km-avant-sport-sline-matrix-led-pakiet-serwisowy-gratis-ID6BEDf9.html
BMW Seria 6 G32,279900,1995,2018,5,Diesel,140301,otomoto.pl/oferta/bmw-seria-6-bawaria-motors-katowice-ID6BPjuN.html
Mercedes-Benz Klasa C W205,209900,1497,2018,1,Benzyna,140214,otomoto.pl/oferta/mercedes-benz-klasa-c-c-200-4m-coup-pakiet-amg-kamera-360-15502-ddb-auto-bogacka-ID6BNyGk.html
Audi Q8,419355,3000,2018,1,Diesel,139785,otomoto.pl/oferta/audi-q8-gratis-od-3-310-zl-m-taniej-o-90-995wyprzedazperlasline-wewn-ID6BCRDt.html
BMW X4 G02,279168,2000,2019,5,Diesel,139584,otomoto.pl/oferta/bmw-x4-xdrive-20d-xline-190-km-ID6BIWic.html
BMW X3 G01,278077,2000,2019,5,Diesel,139039,otomoto.pl/oferta/bmw-x3-xdrive-20d-m-sport-190-km-ID6BHvyX.html
Porsche Panamera,549900,3956,2017,38900,Diesel,139004,otomoto.pl/oferta/porsche-panamera-4s-diesel-dostepna-od-reki-webasto-navi-panorama-bose-fv23-nivette-ID6BNQNx.html
BMW Seria 5 G30,277000,1995,2019,1000,Diesel,138847,otomoto.pl/oferta/bmw-seria-5-bmw-520d-xdrive-sedan-demo-ID6BHMuo.html
Mercedes-Benz Klasa B W247,184900,1332,2018,1,Benzyna,138814,otomoto.pl/oferta/mercedes-benz-klasa-b-b-200-pakiet-amg-bogata-opcja-16582-ddb-auto-bogacka-ID6BGRzB.html
Audi Q8,412900,3000,2018,1,Diesel,137633,otomoto.pl/oferta/audi-q8-50-tdi-quattro-286-km-tiptronic-wyprzedaz-rocznika-w-aso-ID6Bysr7.html
Audi Q5 FY,272990,2000,2019,1,Benzyna,136495,otomoto.pl/oferta/audi-q5-q5-sport-45-tfsi-quattro-245-km-s-tronic-2019-ID6BP87P.html
Audi A6 C8,267900,1968,2018,5,Diesel,136128,otomoto.pl/oferta/audi-a6-avant-sport-40-tdi-204-km-s-line-matrix-led-kola-zimowe-gratis-ID6BvezE.html
Audi Q7 II,405000,3000,2018,1,Diesel,135000,otomoto.pl/oferta/audi-q7-50-tdi-quattro-286-km-tiptronic-wyprzedaz-rocznika-w-aso-ID6BFB2C.html
BMW X5 F15,269900,2000,2018,6402,Diesel,134950,otomoto.pl/oferta/bmw-x5-x5-xdrive25d-pakiet-sport-m-i-2018-i-asystent-park-navi-20-ID6Bzasm.html
